SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
05715,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,214.2,,260.8,33.1,25.2,208.5,334.8,173.5,208.5,314.0
05915,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,11.43,,13.1,29.5,,,10.6,60.0,25.0
06015,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,542.0,1206.0,766.5,308.5,1744.0,780.5,511.2,312.4,585.5,752.0
06071,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,58.97,,,,,0.0,0.0,1.0
06077,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,228.6,62.56,146.1,153.1,268.2,351.2,,332.52,364.0,238.0
06115,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,4332.0,6350.0,4324.0,6268.0,6950.0,4964.0,7724.0,4523.9,5990.0,5127.0
06141,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,1.846,146.6,130.5,118.4,112.4,175.1,86.24,87.4,100.0
06171,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,1390.0,372.2,1215.0,1645.0,662.5,3220.0,3578.0,1463.64,1493.0,1905.0
06177,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,403.8,444.0,1314.0,650.5,1739.0,1103.0,712.0,701.4,1083.0,1115.0
06184,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,499.8,166.2,398.8,1023.0,402.5,210.276,237.6,424.0
06190,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,142.0,120.7,372.2,654.0,725.0,839.0,748.5,780.84,835.0,516.0
06215,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,233.8,112.2,518.0,241.8,241.5,336.2,693.5,352.6,418.2,393.0
06271,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,71.8,175.8,305.8,157.5,257.5,146.5,171.6,136.32,127.2,210.0
06315,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,275.0,,207.5,122.3,53.7,121.9,28.8,232.2,300.0,285.0
06415,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,191.8,,,,,0.0,0.0,80.0
06515,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,6024.0,4476.0,4772.0,7250.0,4136.0,10180.0,8210.0,6653.2,6856.0,7770.0
06541,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,72.7,79.1,66.9,77.75,71.8,86.04,77.4,94.0
06571,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,719.5,1301.0,1148.0,1483.0,3062.0,1342.0,856.0,1162.08,1192.0,1527.0
06577,KOZEL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,771.5,2700.0,520.5,1955.0,2238.0,1810.0,88.8,1278.48,478.0,1051.0
