SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
05015,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,3638.0,4064.0,5380.0,4074.0,5400.0,7228.0,2686.0,7962.0,7708.0,5961.0
05015,RADEGAST,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,46.62,43.47,,33.6,23.9,,,70.3,20.58,66.0
05071,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,2320.0,493.0,2016.0,1890.0,1936.0,1812.0,1332.0,3572.64,3546.0,2674.0
05077,RADEGAST,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,134.2,124.8,185.5,103.94,49.9,,,204.0,213.5,157.0
05115,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,15750.0,8610.0,13090.0,12190.0,8630.0,14200.0,5228.0,13330.5,12740.0,11937.0
05141,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,135.5,120.7,127.44,120.75,115.1,94.72,120.56,123.0
05171,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,403.0,615.0,884.0,633.5,1450.0,904.5,807.5,1021.08,909.5,904.0
05172,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,1.59,,,,,0.0,0.0,12.0
05177,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,269.5,744.5,423.5,477.8,1152.0,568.5,168.5,371.76,362.0,566.0
05181,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,1.59,,,,,0.0,0.0,11.0
05184,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,167.1,,,390.8,91.5,0.0,0.0,49.0
05215,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,906.0,941.5,3098.0,1096.0,1269.0,4580.0,3004.0,2361.9,2022.0,2117.0
05215,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,86.2,148.0,214.4,42.8,74.3,81.5,215.2,71.1,56.4,109.0
05216,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,25.0,,107.1,16.0,9.9,0.792,114.8,10.1376,10.11,30.0
05225,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1.3,1.3,0.1782,,,0.1584,17.11,0.0,0.0,0.0
05241,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,184.6,32.97,44.7,36.9,93.06,45.56,34.72,59.0
05270,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,22.89,20.31,111.56,64.0,60.03,23.77,132.4,67.5576,45.88,61.0
05270,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,,,,,0.0,24.0,40.0
05276,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,516.0,739.5,1505.0,1155.0,1028.0,1018.5,789.5,893.76,845.0,1130.0
05276,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1148.0,1270.0,585.5,257.5,470.5,540.0,425.2,490.2,321.0,514.0
05315,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,67.56,52.4,180.8,81.9,140.2,143.2,198.4,374.5,377.2,128.0
05337,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,122.7,,,,,0.0,0.0,11.0
05376,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,73.25,88.6,104.1,83.6,90.8,74.9,90.94,117.24,76.2,91.0
05376,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,698.5,902.5,42.72,26.52,49.1,38.28,36.0,13.92,32.94,67.0
05415,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,30.58,1.429,62.8,45.7,46.1,45.8,17.8,54.3,58.2,40.0
05515,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,299.5,310.5,904.0,360.5,499.5,497.5,910.0,920.6,897.0,596.0
05516,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,3.572,,40.3,0.871,3.168,0.713,51.62,3.6432,2.268,4.0
05576,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,105.06,132.6,165.2,124.3,160.0,99.0,116.75,196.2,136.8,135.0
