SkuShort,Brand,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
06115,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,4332.0,5948.0,4324.0,6268.0,6950.0,4964.0,7724.0,4523.9,5990.0,5196.0
06115,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,106.56,254.4,406.8,258.2,397.0,240.2,188.4,693.0,319.2,336.0
06141,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,,,146.6,130.5,118.4,112.4,175.1,86.24,87.4,139.0
06171,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,1390.0,372.2,1215.0,1645.0,662.5,3220.0,3578.0,1463.64,1493.0,1989.0
06177,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,350.0,390.2,1314.0,650.5,1739.0,1103.0,712.0,701.4,1083.0,1127.0
06177,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,1439.0,1228.0,2562.0,3106.0,2718.0,2108.0,1383.0,2515.8,3328.0,2814.0
06184,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,,,499.8,166.2,398.8,1023.0,402.5,210.276,237.6,429.0
06185,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,,,640.5,174.6,33.25,307.8,,232.848,180.0,363.0
06190,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,142.0,120.7,372.2,654.0,725.0,839.0,748.5,780.84,835.0,649.0
06190,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,1838.0,1183.0,1090.0,1159.0,723.0,570.5,1096.0,1225.44,1196.0,1360.0
06215,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,233.8,112.2,518.0,241.8,241.5,336.2,693.5,352.6,418.2,417.0
06271,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,71.8,175.8,305.8,157.5,257.5,146.5,171.6,136.32,127.2,220.0
06276,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,36.78,29.62,56.1,184.5,71.06,59.53,66.94,62.28,52.56,103.0
06315,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,275.0,,207.5,122.3,53.7,121.9,28.8,232.2,300.0,246.0
06515,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,6010.0,4360.0,4772.0,7250.0,4136.0,10180.0,8210.0,6653.2,6856.0,7374.0
06515,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,1.787,1.787,15.97,8.5,6.4,15.9,15.5,7.3,13.0,18.0
06541,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,,,72.7,79.1,66.9,77.75,71.8,86.04,77.4,86.0
06571,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,628.0,1232.0,1137.0,1483.0,3062.0,1342.0,856.0,1162.08,1192.0,1346.0
06571,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,3.482,3.482,36.62,23.16,81.25,59.53,52.2,20.04,37.53,48.0
06577,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,771.5,2700.0,520.5,1955.0,2238.0,1810.0,88.8,1278.48,478.0,1363.0
06577,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,158.6,115.75,275.0,185.0,187.9,154.5,81.8,69.0,307.5,247.0
06615,KOZEL,CZ,2021,15,5,3.277,1.754,1.525,True,546.5,61.03,315.0,782.5,132.1,232.8,445.8,357.8,367.8,410.0
06677,KOZEL,SK,2021,15,5,3.277,1.754,1.525,True,78.94,57.5,221.0,126.4,32.28,76.8,30.48,18.24,36.47,138.0
07015,TOPVAR,SK,2021,15,5,3.277,1.754,1.525,True,38.38,58.16,83.9,59.8,92.9,73.9,97.0,57.0,46.6,87.0
07082,TOPVAR,SK,2021,15,5,3.277,1.754,1.525,True,15.32,15.32,15.75,8.52,7.8,30.6,29.52,19.44,15.0,20.0
07215,TOPVAR,SK,2021,15,5,3.277,1.754,1.525,True,106.0,148.5,209.1,141.5,188.9,177.6,146.2,154.5,147.2,188.0
07282,TOPVAR,SK,2021,15,5,3.277,1.754,1.525,True,11.49,11.49,67.56,8.52,8.64,29.77,37.2,20.88,29.77,23.0
11076,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,450.0,253.1,,794.5,965.0,1043.0,908.5,900.48,945.5,1062.0
11076,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,936.0,2164.0,,110.25,155.1,183.1,212.2,138.48,145.1,233.0
11215,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,43.66,50.8,242.6,18.5,33.4,15.5,223.0,37.5,68.4,44.0
11216,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,1.866,1.866,8.32,1.108,1.98,0.396,,8.3952,0.5547,11.0
11238,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,,,2.05,0.2375,0.2375,0.0,4.832,0.0792,2.0,5.0
11276,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,708.5,450.0,79.5,1070.0,1314.0,1413.0,949.5,1244.28,1202.0,1302.0
11276,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,1614.0,1758.0,1030.0,508.0,733.5,1055.0,738.0,792.0,667.0,998.0
11376,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,390.8,242.5,7.184,298.2,337.2,490.2,1.32,367.32,361.5,350.0
11376,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,831.0,1046.0,170.6,50.03,88.44,99.1,297.0,84.96,98.56,138.0
11476,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,288.8,140.5,25.06,141.0,84.75,331.2,,118.08,311.2,220.0
11476,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,681.5,887.0,135.2,20.77,40.8,50.28,,33.6,21.0,113.0
11576,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,503.0,285.8,7.45,424.0,494.0,773.0,,461.76,486.2,558.0
11576,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,797.0,974.0,134.0,114.94,93.8,157.9,,99.36,93.2,202.0
11676,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,225.8,120.6,21.7,152.6,76.44,160.0,,200.4,211.2,194.0
11676,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,690.0,906.0,196.8,23.4,44.88,63.12,,31.8,33.56,115.0
11767,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,,,,,,,,0.144,0.0,68.0
11776,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,232.4,123.7,20.69,135.9,101.25,178.9,,175.92,192.8,192.0
11776,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,717.0,927.5,226.8,33.84,45.0,111.6,,40.44,46.53,122.0
11876,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,191.5,106.44,13.695,111.6,47.28,167.8,,166.56,144.9,134.0
11876,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,713.0,921.0,211.8,13.92,31.44,77.4,,24.96,32.16,113.0
12576,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,641.5,411.2,45.6,718.5,961.5,1008.0,768.0,850.8,801.0,1005.0
12576,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,819.5,1013.5,275.2,78.75,125.4,227.1,192.5,137.28,106.06,207.0
12815,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,148.6,156.0,,91.7,249.2,,,102.3,146.0,159.0
12815,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,,,,0.2,0.1,,,0.1,0.0,10.0
