SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
02300,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,319.0,,,,424.2,0.0,0.0,95.0
02303,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,431.5,143.4,115.2,96.9,353.8,197.7,250.1,151.0
02305,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,2380.0,269.0,222.0,254.0,1984.0,512.5,719.0,252.0
02500,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,280.5,,,,322.8,0.0,0.0,58.0
02503,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,100.25,90.0,87.6,67.5,141.0,156.6,175.9,98.0
02505,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,784.5,173.0,183.5,190.5,1102.0,320.5,343.8,237.0
02600,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,1084.0,,,,1158.0,0.0,0.0,336.0
02603,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,677.0,415.5,414.0,341.0,850.0,708.9,936.0,319.0
02605,GAMBRINUS,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,6144.0,1036.0,964.0,1067.0,7556.0,2113.5,2964.0,1741.0
02803,EXCELENT,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,68.4,214.8,152.1,180.6,275.5,273.9,255.9,93.0
02805,EXCELENT,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,258.0,182.0,139.5,221.0,894.0,272.5,225.2,140.0
05000,RADEGAST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,1035.0,47.88,47.88,,955.0,66.49,0.0,323.0
05002,RADEGAST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,216.6,555.5,496.8,515.5,221.9,783.0,902.5,274.0
05003,RADEGAST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,694.0,698.0,656.0,553.5,693.5,1077.9,1246.0,471.0
05005,RADEGAST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,4264.0,1292.0,1252.0,1648.0,4350.0,2647.5,2834.0,1201.0
05100,RADEGAST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,302.8,9.9,9.9,,322.2,19.22,0.0,219.0
05103,RADEGAST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,603.5,670.5,593.5,560.5,645.5,954.3,1100.0,458.0
05105,RADEGAST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,5176.0,1056.0,889.5,1191.0,5496.0,1908.5,2388.0,1388.0
05202,BIRELL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,101.1,1.95,4.65,3.0,101.7,7.5,10.484,28.0
05203,BIRELL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,656.5,3.9,2.7,,652.0,27.3,28.9,157.0
05603,RADEGAST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,274.8,69.9,59.1,,,111.0,82.0,130.0
06003,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,51.97,9.0,7.2,13.5,30.9,20.1,16.84,12.0
06005,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,309.8,11.5,8.0,19.5,190.5,16.0,32.28,75.0
06100,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,28.81,,,,47.44,0.0,0.0,0.0
06103,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,198.6,186.9,152.8,174.9,324.2,243.9,289.8,110.0
06105,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,1100.0,245.5,206.5,291.5,1694.0,481.0,625.0,305.0
06202,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,53.97,2.25,4.05,1.35,59.1,5.25,5.34,5.0
06203,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,576.0,9.3,3.0,15.3,640.0,15.9,20.95,143.0
06205,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,42.6,,,0.5,40.0,0.0,0.0,10.0
06500,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,703.0,,,,794.0,19.8,0.0,281.0
06503,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,1029.0,813.5,640.0,631.5,1168.0,1340.7,1260.0,577.0
06505,KOZEL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,7130.0,1482.0,1099.0,1394.0,8470.0,2864.5,2692.0,1914.0
08103,MASTER,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,,,,,,0.0,0.0,5.0
08202,MASTER,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,26.03,3.0,6.15,7.2,36.3,4.5,4.78,8.0
08302,MASTER,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,23.23,0.3,1.2,0.45,28.34,1.65,3.664,3.0
09303,MASTER,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,23.7,,,,,0.0,0.0,2.0
11202,BIRELL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,90.25,11.1,18.45,14.25,68.4,30.45,17.14,18.0
11203,BIRELL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,777.5,64.5,41.7,93.9,488.5,198.0,58.0,172.0
11205,BIRELL,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,,,,,,0.0,0.0,23.0
15002,KINGSWOOD,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,29.17,4.133,0.612,3.979,34.88,10.557,4.016,0.0
15003,KINGSWOOD,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,106.25,10.8,7.8,19.2,134.4,39.9,4.86,28.0
20105,SWIST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,207.0,13.0,11.5,10.0,200.5,32.5,12.51,54.0
20205,SWIST,CZ,2021,17,5,5.0,,7.617,6.863,5.58,True,,,475.8,56.0,58.5,46.0,587.0,138.5,70.8,173.0
