SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,OldPredSalesHl
05190,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,329.5566502463055,,558.4529726346251,304.38,131.22,649.53,476.73,275.04,441.4816
05215,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,1157.7637822153954,958.3684535297438,2088.868238424725,1248.5,1046.9,3203.2,2628.3,693.9,1097.6013
05216,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,130.25300442757748,95.10436432637572,100.70643409309999,162.6768,57.7368,220.6512,96.7032,66.132,96.70360000000001
05241,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,64.978772979925,63.36,111.12,243.48,122.52,27.52,32.9202
05270,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,17.142857142857142,22.857142857142858,76.892887390175,17.9784,37.8576,122.9976,40.6296,69.4584,34.8986
05271,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,7.416,,,,264.84,201.0,
05276,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,358.35074244751667,53.617511520737324,450.1666746758749,620.16,612.36,1093.92,,,441.08209999999997
05315,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,110.50284900284903,91.09869759869761,197.19305239155,120.2,97.6,218.3,437.3,,104.3995
05369,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,0.01785714285,,,,,,
05376,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,35.28033794162826,54.85919098822325,62.430951982249994,77.64,72.36,117.48,33.6,,33.6001
05379,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,0.00625,,,,,,
05415,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,14.666666666625002,16.3,25.4,17.5,,,6.999299999999999
05515,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,426.3365171268398,333.388586920845,641.9896632687,448.3,332.8,1017.8,1101.1,298.8,518.0024999999999
05516,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,29.541429475015807,20.123339658444024,43.070008343699996,35.7984,19.7208,85.2984,29.6208,27.8784,29.6211
05571,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,0.45,,,,37.32,,
05576,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,59.26216077828982,26.695852534562214,41.03405714635001,44.4,87.24,108.72,,,69.5
05579,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,0.0125,,,,,,
05715,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,160.47619047619048,124.44444444444446,148.45,124.1,132.8,124.0,153.1,48.3,170.001
05815,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,4.729166666666666,33.10416666666666,,,,,,,
06015,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,553.2304504652703,2180.1687088124468,620.4951644839998,205.8,597.7,1894.2,,,569.3011
06115,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,10178.954418271305,3976.795111206876,6702.7679116239005,6213.5,2967.3,7437.8,6809.0,7663.6,6085.702399999999
06141,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,103.597114711025,217.68,238.0,515.64,282.24,116.12,89.87899999999999
06171,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,195.4021676321454,771.2204872581897,669.6607307366,287.64,635.28,1535.16,544.32,347.64,474.12100000000004
06177,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,180.0,552.8571428571429,199.85089839354998,212.28,472.92,932.04,137.16,430.44,122.4005
06181,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,0.28,1.9600000000000002,,,,,,,
06184,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,300.0,214.28571428571428,,292.248,123.42,187.836,,,277.0005
06190,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,0.19083969465648856,60.0,462.11362919159995,314.55,276.3,887.85,541.89,560.52,344.4602
06215,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,91.01831501831502,110.12820512820511,578.1741020386502,609.1,256.7,622.1,627.6,418.8,546.0999
06271,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,12.857142857142858,18.45864661654135,126.608896821125,113.52,162.0,210.72,188.28,114.0,125.59920000000001
06315,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,254.99999999999994,85.4,,16.3,565.8,1.6,111.6992
06515,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,702.8966218966218,1074.4668294668293,2467.7929894489494,853.1,913.6,3171.7,1992.8,3152.5,1116.6019999999999
06541,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,56.11046981810001,80.6,112.68,157.76,128.36,77.28,106.4011
06571,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,162.50460829493088,43.38095238095238,737.0908576793751,651.72,601.2,853.44,453.0,243.84,383.5607
06577,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,85.0,595.0,188.75164,129.6,258.12,745.56,703.08,272.16,145.0002
06594,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,7.311827956989247,4.516129032258064,291.4321458478251,236.775,151.275,433.5,275.625,163.875,161.5772
06615,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,195.08648758648758,210.48636548636551,256.44713915805005,133.4,118.3,331.7,347.6,193.1,241.69960000000003
06715,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,1.365,,,,60.7,60.4,
06871,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,875.0,,350.0,8.64,618.36,406.08,95.04,380.16,447.0
06892,KOZEL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,1670.0,5564.16,1720.32,2452.8,5046.72,5463.36,4483.5701
08460,MASTER,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,0.9859154929577465,6.901408450704224,,1.344,0.96,0.912,,,14.0001
10071,GAMBRINUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,6.428571428571429,8.571428571428571,43.968953130574995,96.84,25.32,153.96,44.52,28.92,43.519600000000004
10171,GAMBRINUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,6.428571428571429,8.571428571428571,9.9531889363,9.48,5.4,9.96,14.28,18.24,11.4391
10271,GAMBRINUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,6.428571428571429,8.571428571428571,14.552254805050001,12.36,8.88,12.84,9.72,20.28,11.4806
11071,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,449.0,3.94785714285,,,448.8,101.16,66.0,
11076,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,52.03149001536099,92.11725550435229,186.71541627,268.68,374.88,550.32,,,164.3617
11171,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,1.872,,,,74.28,66.72,
11238,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,6.242037787575001,8.8704,4.95,19.1268,6.2568,4.95,9.039
11271,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,449.0,3.53385714285,,,448.8,161.88,83.16,
11276,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,52.03149001536099,92.11725550435227,198.08435640940002,166.8,462.48,876.48,,,240.6015
12080,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,34.4047619047619,88.96825396825398,58.132936456725,41.328,50.976,80.448,22.176,,28.5929
12180,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,33.833333333333336,88.96825396825398,46.14953042867499,21.744,34.704,52.8,15.648,,16.9357
12280,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,24.976190476190474,77.53968253968254,65.111604102925,13.872,30.576,50.304,,,24.152500000000003
