SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,OldPredSalesHl
06003,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,19.1052850731,33.3,38.1,29.4,26.4,20.1,27.479499999999998
06005,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,203.99443598202,146.5,154.0,161.0,154.5,182.5,147.0153
06100,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,35.466992578420005,19.08,47.61,28.59,47.59,75.3,35.2902
06100,KOZEL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,12.5022490404,,15.0,,29.8,45.0,10.0
06103,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,117.52730493324,151.5,155.4,171.3,164.1,151.2,154.18959999999998
06103,KOZEL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,22.830374719799998,23.7,20.1,24.6,33.3,33.6,30.7464
06105,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,679.49323752796,892.5,851.5,978.5,1024.0,1104.5,854.5655
06105,KOZEL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,125.8042158378,129.0,131.5,123.0,161.0,182.0,139.19650000000001
06202,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,38.302863591080005,36.45,35.55,39.15,49.5,30.6,43.7912
06203,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,423.4699332981799,389.1,398.4,410.7,424.2,386.7,390.79630000000003
06203,KOZEL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,5.54679706178,6.0,3.9,5.1,7.5,5.4,5.8408
06205,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,37.86539453672,34.5,33.5,34.0,36.0,26.5,34.2877
06403,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,,424.2,383.4,,,,499.99999999999994
06403,KOZEL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,,71.1,15.0,,,,44.5005
06500,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,603.48314329326,549.55,584.61,574.0800999999999,721.31,686.5901,690.6231
06500,KOZEL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,41.05516212314,50.0,40.0,45.0,35.0,30.0,30.0
06503,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,653.85921730406,659.4,742.2,760.8,768.9,542.0999999999999,717.7068
06503,KOZEL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,23.669300659260003,38.1,35.7,32.4,38.4,28.8,32.9303
06505,KOZEL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.421428571428572,False,,,4959.96108437616,4932.0,5381.0,5499.0,5616.5,4631.5,5086.2945
06505,KOZEL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,164.04756092406,194.5,175.0,169.0,216.0,206.0,170.34699999999998
07005,TOPVAR,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,190.16600288977997,159.0,266.5,180.0,249.0,274.5,202.7088
07105,TOPVAR,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,61.43534655884,60.5,50.5,63.5,95.0,92.5,66.7667
07205,TOPVAR,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,136.54127753598,104.5,113.5,79.0,154.0,164.5,95.73209999999999
07303,TOPVAR,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,23.170358106459997,18.9,19.8,12.6,24.6,31.8,19.9849
08202,MASTER,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,30.47402728252,21.0,20.85,22.65,24.45,25.65,20.4736
08302,MASTER,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,29.843878746220003,16.05,23.25,22.35,26.7,20.55,20.8477
08302,MASTER,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,25.912393909059993,12.3,9.6,11.4,14.4,8.85,14.5104
08403,MASTER,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,,,20.7,143.4,,,
08403,MASTER,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,,1.2,15.3,37.8,,,
08703,MASTER,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,,,2.1,,,,
08703,MASTER,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,,,,,,,
08803,MASTER,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,10.934682584819999,,,,,50.7,
11202,BIRELL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,202.46953744468001,52.2,60.45,55.05,24.75,,50.3653
11202,BIRELL,SK,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,10.50855752954,16.5,15.15,15.75,8.7,,15.0
11203,BIRELL,CZ,2020,10,5,5.0,5,5.092857142857143,1.285714285714286,3.4214285714285717,False,,,117.74124311851999,287.4,281.7,271.5,96.9,,232.9213
