SkuShort,PrimaryPack,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,SalesHl,OldPredSalesHl,PredictSalesHl
06115,RB,CZ,2021,10,5,2.34,0.877,3.383,True,2012.0,3364.0,3714.0,6780.0,4980.0,2158.0,4860.0,2464,3688,4316.0
06141,RB,CZ,2021,10,5,2.34,0.877,3.383,True,,,106.0,170.6,107.8,95.56,223.2,47,88,137.0
06171,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,392.2,479.8,779.0,849.0,830.5,1028.0,1631.0,562,758,1025.0
06177,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,2634.0,1134.0,573.0,1738.0,1633.0,388.5,1085.0,2172,1942,1608.0
06184,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,467.8,857.0,122.2,1204.0,220.0,655.5,736.5,806,722,599.0
06190,PET,CZ,2021,10,5,2.34,0.877,3.383,True,33.7,28.25,501.0,362.2,338.8,446.2,388.0,314,371,381.0
06215,RB,CZ,2021,10,5,2.34,0.877,3.383,True,100.44,161.0,299.8,443.5,64.7,289.2,428.5,434,468,240.0
06271,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,154.5,326.8,236.1,362.2,135.0,243.9,348.0,143,209,258.0
06315,RB,CZ,2021,10,5,2.34,0.877,3.383,True,339.0,191.1,44.03,158.5,71.1,120.2,129.2,102,229,191.0
06515,RB,CZ,2021,10,5,2.34,0.877,3.383,True,1967.0,4404.0,3422.0,5536.0,6956.0,4628.0,5596.0,3712,3400,4365.0
06541,RB,CZ,2021,10,5,2.34,0.877,3.383,True,,,63.22,77.0,101.06,68.75,118.94,61,109,89.0
06571,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,947.0,1882.0,1231.0,3082.0,2092.0,1105.0,1077.0,1234,1081,1751.0
06577,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,,428.5,407.0,696.5,2484.0,519.0,127.7,372,190,783.0
06615,RB,CZ,2021,10,5,2.34,0.877,3.383,True,246.2,475.5,212.5,896.0,1.8,201.9,293.2,454,308,304.0
11076,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,584.0,601.5,33.94,1050.0,542.0,626.5,659.0,461,694,722.0
11216,RB,CZ,2021,10,5,2.34,0.877,3.383,True,,,5.04,0.634,1.108,20.28,,1,3,10.0
11276,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,743.5,780.5,37.66,1515.0,823.5,830.0,689.5,580,820,954.0
11376,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,337.5,401.0,0.1326,299.8,170.9,252.6,2.76,153,180,274.0
11476,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,266.2,220.0,11.914,221.0,154.2,858.0,,109,170,335.0
11576,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,422.0,461.0,3.566,482.2,253.5,321.0,,245,354,411.0
11676,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,184.4,180.0,10.31,204.8,159.4,460.8,,103,138,258.0
11776,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,179.8,179.8,9.85,194.1,142.8,664.5,,110,145,236.0
11876,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,152.5,154.6,6.508,109.2,95.75,432.5,,83,114,163.0
12080,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,5.0,6.0,,39.25,6.625,35.56,118.25,4,7,42.0
12180,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,5.0,5.715,,25.02,3.168,21.27,67.1,2,3,31.0
12280,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,5.0,5.715,,13.34,9.695,19.11,77.25,2,2,22.0
12576,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,596.5,610.5,17.77,884.5,517.0,578.5,585.5,404,634,689.0
12815,RB,CZ,2021,10,5,2.34,0.877,3.383,True,100.8,25.72,,102.1,74.5,,,126,120,134.0
12915,RB,CZ,2021,10,5,2.34,0.877,3.383,True,100.8,25.72,,94.0,62.2,,,132,120,118.0
13338,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,134.5,44.22,4.277,154.5,61.47,79.06,291.8,133,172,132.0
13374,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,57.6,53.4,45.34,35.3,14.89,,,18,30,40.0
13438,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,125.44,48.9,8.32,279.0,107.5,108.5,532.0,224,331,167.0
13474,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,65.5,54.53,54.5,114.7,25.81,,,111,130,93.0
13538,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,107.06,40.12,1.577,128.1,36.56,63.47,225.5,89,136,100.0
13638,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,118.94,44.12,6.418,269.0,135.2,145.2,495.0,202,272,184.0
13674,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,62.84,52.94,52.34,94.56,41.5,,,127,123,83.0
13738,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,180.5,66.94,7.6,203.8,78.3,126.06,6.176,123,157,165.0
13838,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,162.1,53.88,116.5,182.1,75.94,,,100,142,174.0
13938,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,155.4,48.16,102.3,171.9,90.06,,,107,127,175.0
15060,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,73.3,71.9,90.56,99.44,57.38,176.6,141.1,63,38,110.0
15070,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,39.1,51.5,49.62,35.56,17.98,10.93,15.445,42,42,30.0
15160,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,29.9,29.9,16.47,48.9,36.38,41.75,33.4,37,22,43.0
15170,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,36.6,49.72,,17.03,6.258,2.852,10.22,18,36,24.0
15260,NRB,CZ,2021,10,5,2.34,0.877,3.383,True,24.28,23.58,18.23,45.22,35.56,39.16,36.25,22,12,41.0
15270,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,36.1,49.22,27.38,22.17,5.465,3.484,10.45,20,29,19.0
01015,RB,SK,2021,10,5,2.34,0.877,3.383,True,2592.0,1496.0,1698.0,2022.0,1120.0,1567.0,1097.0,2844,1986,1930.0
01016,RB,SK,2021,10,5,2.34,0.877,3.383,True,22.58,16.81,28.7,25.81,41.9,35.88,45.62,26,27,36.0
01070,CAN,SK,2021,10,5,2.34,0.877,3.383,True,0.389,0.389,10.29,14.65,5.703,15.29,16.08,5,7,21.0
01077,CAN,SK,2021,10,5,2.34,0.877,3.383,True,1692.0,1459.0,2124.0,3768.0,1983.0,2320.0,821.5,2140,2174,2599.0
01125,NRB,SK,2021,10,5,2.34,0.877,3.383,True,,,0.1224,0.475,0.0792,0.554,0.0792,0,0,8.0
02015,RB,SK,2021,10,5,2.34,0.877,3.383,True,148.2,121.2,,70.7,57.4,,,111,20,119.0
02077,CAN,SK,2021,10,5,2.34,0.877,3.383,True,519.0,675.5,404.5,684.0,1363.0,453.8,297.2,478,402,760.0
02115,RB,SK,2021,10,5,2.34,0.877,3.383,True,1221.0,767.5,287.2,1005.5,1075.0,219.6,60.5,886,541,777.0
02177,CAN,SK,2021,10,5,2.34,0.877,3.383,True,1101.0,892.0,1193.0,2468.0,1468.0,1528.0,876.0,1255,1169,1674.0
04015,RB,SK,2021,10,5,2.34,0.877,3.383,True,206.1,326.5,385.2,589.5,452.0,258.2,380.8,493,361,446.0
04077,CAN,SK,2021,10,5,2.34,0.877,3.383,True,605.5,521.5,259.2,375.2,342.2,181.2,207.9,114,247,476.0
04215,RB,SK,2021,10,5,2.34,0.877,3.383,True,331.5,1022.5,1206.0,1881.0,1510.0,886.0,1299.0,1340,1221,1175.0
04271,CAN,SK,2021,10,5,2.34,0.877,3.383,True,265.8,422.8,172.1,91.2,96.94,212.0,275.2,80,101,166.0
04277,CAN,SK,2021,10,5,2.34,0.877,3.383,True,163.5,422.8,607.5,964.0,812.0,413.0,623.0,331,927,847.0
04315,RB,SK,2021,10,5,2.34,0.877,3.383,True,7.08,4.938,38.78,37.4,22.4,42.2,47.1,46,28,37.0
04377,CAN,SK,2021,10,5,2.34,0.877,3.383,True,2.219,22.22,20.28,34.1,8.64,40.2,14.4,23,18,34.0
04476,CAN,SK,2021,10,5,2.34,0.877,3.383,True,88.0,208.6,137.9,120.4,173.9,136.2,223.6,119,65,165.0
04515,RB,SK,2021,10,5,2.34,0.877,3.383,True,548.5,900.5,856.5,910.0,819.0,904.5,756.0,1010,669,947.0
04585,CAN,SK,2021,10,5,2.34,0.877,3.383,True,905.5,409.0,1044.0,1814.0,868.5,590.0,750.0,1721,1175,1223.0
04590,PET,SK,2021,10,5,2.34,0.877,3.383,True,342.5,679.0,835.5,1364.0,568.0,1618.0,1417.0,1171,946,971.0
04976,CAN,SK,2021,10,5,2.34,0.877,3.383,True,111.3,297.0,171.4,177.5,308.8,167.8,,25,80,232.0
05215,RB,SK,2021,10,5,2.34,0.877,3.383,True,38.8,28.64,279.8,77.7,47.6,277.8,215.5,59,57,100.0
05225,NRB,SK,2021,10,5,2.34,0.877,3.383,True,0.4517,1.88,1.283,0.1584,0.634,12.67,14.016,0,1,3.0
05276,CAN,SK,2021,10,5,2.34,0.877,3.383,True,405.5,1498.0,448.0,688.5,363.5,490.2,518.0,834,704,543.0
