Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekBgtHl1,PrevWeekSalesHl1,PrevWeekSalesHl2,RealSalesHl,PredictSalesHl
48,5,4.721428571428572,0.05,1.4785714285714289,False,75.0,60.71428571428571,0.0,0.0,27.3,20.0,11,141.85867869125332
50,5,-0.0285714285714286,0.6142857142857141,0.6714285714285715,False,0.0,0.0,168.23817198978003,168.23817198978003,95.4,81.28,109,177.350061532959
30,5,23.871428571428574,1.4857142857142858,9.150000000000002,False,0.0,0.0,0.0,0.0,3.24,4.32,4,134.03864920495153
7,5,5.1000000000000005,1.2071428571428573,3.3428571428571425,False,47.25246305418719,34.78817733990148,0.0,0.0,32.448,56.928,42,143.50980252577006
38,5,12.114285714285712,0.25,4.707142857142857,False,0.0,0.0,0.0,0.0,3.96,3.564,4,134.0485011094579
49,5,2.092857142857143,0.5357142857142857,1.657142857142857,False,21001.76282051282,7891.893106893107,10578.560000000003,10578.560000000003,9603.4,6648.6,15568,1609.659223751862
9,5,6.528571428571429,0.1357142857142857,4.35,False,2115.577922077922,4729.53997318471,4855.735677844879,4397.995210361799,4909.9,4418.5,4451,1838.9770529249686
19,4,11.485714285714284,2.5500000000000003,6.764285714285713,False,489.26202518477567,851.2756869615952,1354.675,1354.675,333.1,395.3,445,732.0191007964223
19,4,11.485714285714284,2.5500000000000003,6.764285714285713,False,115.28571428571428,144.24812030075188,0.0,0.0,303.12,148.2,222,192.1464299678962
20,5,9.964285714285714,4.371428571428572,6.685714285714286,True,61.08640552995393,65.80069124423964,50.1583247888,50.1583247888,123.0,148.68,163,170.06344170035413
48,5,4.721428571428572,0.05,1.4785714285714289,False,180.8421658986175,252.0443722943723,837.23675034334,875.828592479675,1072.2,1023.48,1140,718.8877766079248
51,5,2.2,0.55,0.4428571428571429,False,0.0,171.42857142857142,40.08,40.08,332.76,563.04,27,248.15813087494462
35,5,18.014285714285712,2.2285714285714286,5.221428571428571,False,1186.8314132104456,247.342549923195,715.63211968824,1618.117013543175,677.1,633.0,2840,833.0560673100697
15,4,11.55,0.0,12.375,True,156.42857142857144,205.31881022203603,275.21443427699995,275.21443427699995,141.84,148.68,147,223.91792803190083
1,4,5.112500000000001,1.0625000000000002,0.925,False,150.0,527.3684210526316,305.6019092028,336.93600000000004,460.44,816.0,137,393.95971411006303
3,5,-3.9214285714285713,0.8428571428571429,2.621428571428571,False,0.0,0.0,3872.7469427700503,3872.7469427700503,5388.8,3142.7,3115,1849.2182706093643
30,5,21.53571428571429,7.428571428571429,5.835714285714286,False,0.0,0.0,249.54423114492505,249.54423114492505,68.928,258.528,149,208.20479877698403
8,5,5.821428571428572,0.9071428571428573,2.185714285714285,False,0.0,0.0,0.0,0.0,46.4904,38.8872,52,141.1837091714624
52,2,2.935714285714285,1.5785714285714283,0.7428571428571428,False,0.0,0.0,528.81664716982,528.81664716982,668.76,404.16,304,399.35821134059165
43,5,12.635714285714284,0.35,5.778571428571428,False,598.4715821812597,742.9953917050691,733.438572603575,733.438572603575,307.92,825.72,869,554.1064331500033
48,5,0.8642857142857144,1.942857142857143,1.1285714285714286,False,89.40146116296302,23.97261044378972,52.416,45.705,123.12,136.92,190,170.63211781268024
39,5,13.835714285714284,7.957142857142857,5.214285714285714,False,0.0,0.0,1.6,1.6,2.56,0.88,2,133.93197196108326
12,5,7.05,1.457142857142857,5.728571428571429,True,450.00000000000006,321.42857142857144,304.02,304.02,352.2,120.2,381,292.3460461898451
32,5,20.157142857142865,4.242857142857143,8.028571428571428,False,801.1463133640552,1023.9544930875576,2546.975,2546.975,1907.8,1543.4,1732,1627.7258489180385
5,5,3.357142857142857,0.7714285714285716,2.164285714285714,False,30.17632045373981,7.672952853598014,76.02200000005,433.11158333335,36.72,27.12,152,188.6112294861225
8,5,-4.05,0.0071428571428571,4.435714285714286,False,318.92857142857144,38.33333333333333,429.09445530697496,429.09445530697496,714.72,469.08,591,415.68002037197857
26,5,20.2,1.842857142857143,7.514285714285715,False,0.0,0.0,1257.85561546204,1257.85561546204,2071.2,1600.9,2447,1191.373428938097
39,4,9.835714285714284,0.1928571428571428,7.628571428571429,False,98.28571428571428,97.09523809523807,67.48258120486,67.48258120486,249.6,196.8,216,197.37008230635888
27,3,20.285714285714285,0.5642857142857143,10.257142857142858,False,545.6682027649771,1591.7281105990785,1365.830988432925,1089.15595390986,1176.72,945.36,311,993.6365749450262
38,5,12.114285714285712,0.25,4.707142857142857,False,0.0,0.0,0.0,0.0,57.1824,57.9744,73,143.83041867328848
29,5,21.27142857142857,3.407142857142857,6.999999999999999,False,517.8571428571427,0.0,1092.0411174283,1092.0411174283,581.16,70.32,232,596.1676945830002
37,5,16.435714285714287,0.0,8.914285714285715,False,75.67418546365916,209.95989974937345,924.1700662713,924.1700662713,728.2,1048.3,1080,662.6773703212016
27,5,20.52142857142857,3.2357142857142853,8.95,False,147.67425115207374,116.57142857142858,330.810592356675,226.2360619685,88.032,73.536,62,209.4109364446631
8,5,5.821428571428572,0.9071428571428573,2.185714285714285,False,1393.7179487179494,178.84615384615384,1016.540993393175,1016.540993393175,2325.5,569.2,1040,1175.3931935625646
